ticker,GICS,volatility63Days,return21Days,IR21Days,return252Days,IR252Days,medianDollarVolume21Days,shortInterestFloat,Sales,Operating Income,SG&A,R&D,Interest Expense,Operating Expense,Earnings,Dividend,Depreciation,Operating Cash Flow,Capital Expenditure,Short Term Debt,Long Term Debt,Long Liabilities,Assets,Equity,Cash,Working Capital,ROA,Profit Margin,Operating Margin,R&D/Sales,Sales Variability,Earnings Variability,Sales Growth,Earnings Growth,FCF,Accrual Ratio,outstandingShares,Market Cap,Operating Income Before Depreciation,Income Tax,Minority Interest,Preferred Stock,Sales Growth (1Y),Sales Growth (2Y),Sales Growth (3Y),Debt/Equity,ROE,EBIT,TEV,EBIT/TEV,E/P,S/P,B/P,CF/P,FCF/P,EBIT/P,Sales Growth (4Y),Sales Growth (5Y),Earnings Growth (1Y),Earnings Growth (2Y),Earnings Growth (3Y),Earnings Growth (4Y),Earnings Growth (5Y),Market Leverage,Size (Assets),Size (Market Cap),Earnings Yield,Volatility,Book Leverage,Profitability(ROA),Profitability(ROE),Accrual,Neg Sales Yield,Book Yield,Dividend Yield,Variability,prof_low
EDR,50202010,0.027578621,-0.030860144,-0.41279441,,,26432788,0.050378644,16.60244672,-0.372739474,7.6869645,-0.508533802,0.822172906,16.10575273,-0.541577241,0,0.869433462,0.820737408,0.374145081,0.321775284,13.48216297,18.9439959,25.63969989,3.770200818,5.167917497,3.199264625,-0.021122605,-0.032620327,-0.022450876,0,,,0.011562066,0.024848063,0.446592327,-0.038540606,275698529,8138620576,0.496693988,-0.121803634,2.925496401,6.77E-06,,,,3.661327054,-0.143646789,0.374890354,41.08152393,-0.814487371,-0.018346113,0.562413507,0.12771683,0.027802758,0.027802758,0.012699538,,,,,,,,-0.359195718,-0.469187247,-0.554617925,-1.007621869,0.261884817,-0.071428915,-0.786704523,-1.257425784,-0.575561707,-0.018968569,-0.66909724,-0.764662969,0.072391239,0
CVNA,25504050,0.071278579,-0.139383883,-0.815496485,-0.568898847,-0.900385078,550293556.9,0.22517744,141.9836142,-5.452522683,22.86090992,-0.508533802,2.153464066,145.9157553,-4.162011614,0,1.520381529,-26.84931817,7.310956658,32.89860703,41.73372551,83.61174316,84.1889117,0.887951607,10.63322049,14.75109607,-0.049436577,-0.029313324,-0.038402478,0,0.338410478,,1.1633755,0.024848063,-34.16027483,0.356320834,90062000,10743495980,-3.932141155,0.011502318,-0.310783062,0,0.533163266,0.276161151,0.293175526,84.05,-4.687205455,-3.920638837,182.978329,-1.18274384,-0.034889862,1.190239032,0.007443638,-0.225076018,-0.225076018,-0.03286645,0.214598058,,,,,,,-0.370661081,-0.464543691,-0.477687332,-1.219994872,3,3,-1.125437018,-2.943732025,2.580588944,-1.018374656,-0.967331634,-0.764662969,0.838932173,0
EBC,40101015,0.016253735,-0.000464037,0.079295352,0.125952331,0.605190979,16409666.88,0.019786813,3.785478901,1.699209581,2.009956725,-0.508533802,0,1.998928327,0.92404804,0.338802724,0.087340993,1.03797265,0.048361971,0,0.708927563,116.6553704,134.3551257,17.69975525,4.886178575,0,0.006877654,0.244103339,0.448875724,0,,,0.011562066,0.024848063,0.989610679,-0.00048798,183438711,3951269835,1.786550573,0.201569738,0,0,,,,0.040052959,0.052206826,1.988120311,17.36274899,0.455683061,0.042899166,0.175741825,0.821715657,0.048188145,0.048188145,0.092298993,,,,,,,,0.901071565,-0.310205592,-0.673171572,-0.221412916,-0.627256738,-0.400005381,-0.451725127,-0.40499809,0.073178454,0.596555995,1.051771037,-0.083536961,0.072391239,0
SSB,40101015,0.022978048,-0.08439008,-2.414338047,0.045609222,0.299640619,35285883.3,0.019784822,19.98807391,11.08725222,9.003959574,-0.508533802,0,8.002850088,6.037005317,1.910556373,0.89797161,5.777972187,0.390840719,10.68365437,7.369929692,568.9441694,640.7003231,71.75615371,83.65722289,0,0.00942251,0.302030368,0.554693377,0,0.052082014,0.90893866,-0.743200856,-0.273350776,5.387131468,0.001014318,75675644,6174375794,11.98522383,1.615023281,0,0,-0.084151416,-0.044024132,0.008697419,0.251596318,0.084132231,13.60024711,15.98636117,3,0.073991976,0.244981908,0.879472407,0.070817161,0.070817161,0.166690123,0.011568572,0.009719185,1.28308527,0.117242625,0.067340445,0.146066355,0.097548195,1.320930975,-0.094581913,-0.612628576,0.177727162,-0.099316242,-0.381956597,-0.421279892,-0.266046865,0.098790383,0.486335944,1.194987071,0.249363269,-0.757663358,0
ENLC,10102040,0.027317533,0.022245763,0.786695895,1.364365414,2.096603694,22157480.8,0.052665754,15.56616566,1.007526644,0,-0.508533802,0.474871152,13.32081925,0.142460816,0.398393004,1.237819763,1.907907277,0.448144528,0.041377905,8.795352629,11.68854464,17.61149613,2.629841011,0.140032613,-0.013249083,0.008089081,0.009151953,0.064725422,0,0.335437125,,-1.735470168,-2.360284851,1.459762749,-0.074797844,483364767,4664470002,2.245346408,0.055205613,3.293110477,0,0.91409187,0.183364256,-0.252343405,3.360176717,0.054170885,2.30055202,21.6398084,0.35692044,0.014762779,1.613074161,0.272522385,0.197710599,0.197710599,0.238399173,-0.177070771,-0.096909126,,,,-0.416893122,,-0.140386211,-0.456126993,-0.657221092,-0.582601241,0.24138617,-0.098854985,-0.437232293,-0.396449773,-1.193693197,-1.691466118,-0.31003138,1.023102971,0.82358159,1
DEI,60101040,0.01598991,0.047030892,2.576164963,0.068072894,0.382102901,31493038.5,0.035495083,5.353551815,1.242810628,0.251944011,-0.508533802,0.894663297,4.110741187,0.451068524,1.119761773,0,2.628404563,0,0,28.60552443,30.25582388,53.74319124,14.33453454,2.062981054,0,0.008393036,0.084255937,0.232146932,0,0.064617718,1.907519481,-0.749858009,-0.868538278,2.628404563,-0.04051371,175771568,5874285803,0,0,9.15283281,0,0.099069325,-0.023384439,-0.000368503,1.995567023,0.03146726,0,69.11537619,-0.9244801,0.013496964,0.16019006,0.428920842,0.078647653,0.078647653,0,0.011240918,0.009003814,1.254327431,-0.532884281,-0.130257024,-0.07830969,-0.049168966,-0.241023155,-0.447681412,-0.621491227,-0.59885058,-0.647970187,-0.223131393,-0.433595947,-0.495264386,-0.609200162,0.621312121,0.077780722,0.686263692,0.080008233,0
TTEC,45102020,0.026838918,0.050011322,1.843382435,-0.216651746,-0.507454612,9965068.98,0.051342164,49.02287123,4.325393237,5.320653972,-0.508533802,0.302846029,42.52604109,2.615891308,0.890848774,2.171436902,4.119830155,1.382254353,0.914797071,18.42806188,30.45931914,43.30185095,11.29733437,3.634515945,5.926616154,0.060410612,0.05336063,0.088232148,0,0.146774125,0.433403886,0.296964038,0.312490243,2.737575802,-0.002810145,47035634,3881380518,6.496830138,0.881187996,1.545197442,0,0.123705421,0.167773946,0.141966274,1.712161321,0.231549428,7.378018134,99.77354045,-0.033166382,0.031700089,0.594072603,0.136904197,0.049925232,0.049925232,0.089408848,0.106848723,0.12149431,-0.163710043,0.239271669,0.342498076,,0.241961393,-0.454356901,-0.514701639,-0.673171572,-0.365176082,0.203809131,-0.248941441,0.188713175,0.375567541,0.033589023,-0.069365204,-0.646315862,-0.297174356,-0.636883248,0
FIBK,40101015,0.02409673,-0.066988074,-2.461460068,-0.176841834,-0.481124414,31703577.84,0.038459404,10.4892192,4.75224962,4.28263657,-0.508533802,0,5.059291312,1.918937724,1.717097177,0.677678269,4.128894156,0.260999719,11.53411233,3.05314738,320.0807711,357.1396263,37.0588552,42.14420333,0,0.005373074,0.18294381,0.453060378,0,0.030048732,0.531971999,-0.675111764,-0.777305575,3.867894438,-0.005457128,109503010,4026425678,5.42992789,0.588632688,0,0,-0.025617316,-0.020622492,-0.008267928,0.393624132,0.051780815,6.018560578,9.213056378,3,0.052187591,0.285265684,1.00785573,0.112289751,0.112289751,0.163681278,0.005437862,0.017035974,-0.342298104,-0.14021918,-0.117711712,-0.032672905,-0.026679578,1.787772798,-0.17940008,-0.673171572,-0.102176905,-0.011486025,-0.369021978,-0.469725073,-0.406852247,-0.011538061,0.422210086,1.513331684,1.257552898,-1.082956607,0
IBKR,40203020,0.025386504,0.033720201,1.086898798,-0.096663599,-0.192060997,58112172.13,0.02658054,27.49780093,17.96289596,1.961880702,-0.508533802,1.943321935,8.998516374,2.843482072,0.392451813,0.536388595,44.49401611,0.772581545,5.049130763,1.310153691,1047.528345,1153.167045,24.75182666,583.1796422,0,0.002465802,0.103407617,0.653248454,0,0.163532068,0.364880886,-0.241436785,0.176556188,43.72143456,-0.035448422,98247347,6475482641,18.49928455,1.304096955,80.88687327,0,-0.174003863,-0.079261736,-0.056938955,0.256921824,0.114879686,19.80338151,-430.0234845,0.016562245,0.043141892,0.41720226,0.375539776,0.675072312,0.675072312,0.300460954,-0.007252004,0.063638273,-0.041438229,0.179168887,0.075018795,0.201215391,0.208452863,3,0.491614312,-0.603735894,-0.218297038,0.089776874,-0.381471598,-0.504506044,-0.132222519,-0.522844619,0.212186423,-0.054585183,-0.506816435,-0.603407069,0
AUR,20201070,0.070897467,0.048780488,1.03806324,,,10343962.98,0.051532526,0.169043265,-0.936573657,0,3,0,1.086370591,-0.924854805,0,0.019246332,-0.73547088,0.057475256,0.010774783,0.11832459,0.212657661,3.138119501,2.92546184,1.304454654,1.305238743,-0.294716248,-5.471112991,-5.540437564,5.702715464,,,0.011562066,0.024848063,-0.792946136,-0.042034304,1127581556,6303180898,-0.917327325,-0.002029366,0,0,,,,0.04412957,-0.31613976,-0.919356691,4.414644718,-1.414744625,-0.165448087,0.030240298,0.523338433,-0.13156903,-0.13156903,-0.164464524,,,,,,,,-0.546871349,-0.501118537,-0.608824535,-1.361868355,3,-0.400005381,-3,-2.008179278,-0.635124015,0.828173069,0.311902496,-0.764662969,0.072391239,0
ACM,20103010,0.018955183,0.083968388,3.474246661,0.160422832,0.697048528,54799901.31,0.020506715,90.89418422,4.632998139,1.059258719,-0.508533802,0.733286354,85.02107215,1.450434565,0.148626478,1.240113931,5.657730173,0.668409163,1.379832569,19.64961508,59.92182351,78.49945312,17.74881158,6.766438097,2.900579137,0.018477002,0.015957397,0.050971337,0,0.051735754,,-1.199964776,-0.652704425,4.98932101,-0.04508167,140742683,10810445481,5.87311207,0.603115354,0.828818028,0,0.064298081,0.045243366,-0.052666378,1.184836943,0.081720095,6.476227423,91.90182758,-0.075095859,0.018883408,1.18336394,0.23107423,0.073658771,0.073658771,0.084314899,-0.065630959,-0.039364229,,,-0.052753979,0.065716584,0.004035327,-0.345693962,-0.433194344,-0.475710092,-0.529704503,-0.415160123,-0.296965414,-0.312957025,-0.276545379,-0.687077034,-1.007430517,-0.412807944,-0.680870557,-0.641088561,0
SPLK,45103010,0.036618124,0.070860698,1.819412055,-0.270887268,-0.48744821,300811940.7,0.05260875,16.57917281,-6.693678739,18.60390413,3,1.082363155,22.65956354,-8.25502058,0,0.613288001,0.804515866,0.123953531,0.276578506,21.12391893,34.97179321,36.37095913,1.399165918,10.77163871,7.399618131,-0.22696736,-0.497915106,-0.403740212,0.384270896,0.238544343,,0.892551545,0.024848063,0.680562335,-0.245679056,158787176,19676906850,-6.080390737,0.1142289,0,0,0.190396485,0.035193278,0.107910286,15.29518205,-5.899958306,-5.966161837,134.5488587,-1.414744625,-0.066615725,0.133789322,0.011290881,0.00649222,0.00649222,-0.04814527,0.157812351,0.185495574,,,,,,-0.482831848,-0.48088749,-0.213854137,-1.361868355,0.971595873,0.988078217,-3,-2.943732025,-3,0.663338221,-0.957791853,-0.764662969,0.32335149,0
UI,45201020,0.028428317,0.135348021,4.542652663,0.038199133,0.290111382,23470554.08,0.099238008,27.69870985,8.527500729,3.187103704,0.435790852,0,18.96239353,7.053092365,2.199831507,0.208815589,7.45224424,0.215368494,0.579799788,12.20594124,17.81860503,12.36573614,-5.452868886,2.38565964,4.914592659,0.570373836,0.254636133,0.307866351,0.076094579,0.220963621,0.337322356,1.310366251,0.074509686,7.236875746,-0.014862308,60781979,17697281006,8.736316318,1.276820809,0,0,0.009363305,0.215370905,0.206056323,,,10.01313713,301.5600814,-0.524256616,0.024224112,0.095132264,-0.018728084,0.025595014,0.025595014,0.034390497,0.226482313,0.230393543,-0.196065956,0.146718204,0.166763484,0.321502365,0.18329781,-0.542412928,-0.521829108,-0.272319042,-0.4611456,0.328596287,3,2.619982125,1.41E-16,-0.171882265,0.724874584,-1.032228122,-0.437485057,-0.32823589,0
CNS,40203010,0.017251906,0.064840036,2.964321607,0.340146074,1.324320918,6407666.76,0.027492342,12.43183126,5.266833703,0,-0.508533802,0,7.085406702,4.152819581,3.095288838,0.079590857,2.597805537,0.059763901,0,0.439568681,2.902264021,11.82094574,5.17593287,1.71913574,0,0.351310265,0.334047293,0.42365711,0,0.181611617,0.478756032,0.092815184,-0.077496086,2.538041636,0.136603109,48682508,4181340612,5.346424561,1.230495088,3.74274885,0,0.353379767,0.194387311,0.157475062,0.084925499,0.802332581,6.576919648,88.35318179,-0.027244292,0.048350443,0.144741312,0.060262346,0.030245728,0.030245728,0.076573753,0.111674051,0.09955667,0.926910773,0.281044461,0.184060986,0.193032178,0.145827508,-0.538054382,-0.521829108,-0.671489502,-0.151434577,-0.548888146,-0.39713548,2.619982125,2.757662667,2.410375793,0.645904261,-0.836360177,0.79591276,-0.421922195,0
HR,60101050,0.020268172,-0.011510791,-0.66720618,-0.085925631,-0.256770704,85041540.74,0.146818974,3.75670341,0.440356221,0.283002139,-0.508533802,0.369539576,3.316347189,0.579486759,1.235379343,0,1.614577432,0,0,13.84630764,14.74396683,29.5904422,14.84647537,0.15225661,0,0.019583579,0.154254062,0.117218788,0,0.014326029,1.355380698,-0.806315732,-1.050040639,1.614577432,-0.034980575,151605412,4166116722,0,0,0,0,0.006225868,0.00798688,0.009689889,0.932632648,0.039031942,0,41.17405103,-0.9244801,0.021087582,0.13670682,0.540264751,0.058754637,0.058754637,0,0.010576957,0.002936921,-0.149446752,0.405141017,0.029797694,1.404574553,-0.093910348,-0.414271632,-0.492547801,-0.671939114,-0.501409399,-0.312074472,-0.319933919,-0.299718561,-0.462340081,-0.514868517,0.658693993,0.353873698,1.182085653,-0.445595619,0
GE,20105010,0.02205342,-0.027376893,-0.826410221,-0.14617311,-0.373573346,558732761.5,0.008991523,67.40002236,4.093474078,13.27477962,-0.077321513,1.621276147,60.60185571,-4.337056614,0.515300079,2.704692567,4.298911266,1.143260382,4.531818182,28.48,137.8890909,174.51,35.45363636,21.47363636,9.05,-0.024852768,-0.064348,0.060734017,0.034747496,0.151820614,,-1.636847504,0.024848063,3.155650884,-0.042935691,1100664978,1.00711E+11,6.798166646,-0.204579815,1.161818182,0.005454545,0.006778845,-0.108004338,-0.070847413,0.931126439,-0.122330375,6.593586831,104.2054545,-0.161808573,-0.047399526,0.736612266,0.387471436,0.046982637,0.046982637,0.072061058,-0.113985634,-0.086311229,,,,,,-0.149218059,1.204177906,2.179346312,-1.361868355,-0.171910768,-0.320071091,-0.831330112,-1.164648828,-0.650491318,-0.296267426,-0.024998945,-0.520789034,-0.124378659,1
TXN,45301020,0.020925418,0.078659612,3.150331346,-0.017462935,0.058205865,885496648.3,0.01657397,20.26240948,10.37101256,3.443237217,0.511850491,0.203060246,8.900804356,8.781679733,4.284477452,0.990592561,9.671289956,2.775145999,0.535331906,7.753747323,12.05460385,27.0620985,15.00749465,10.51927195,12.29336188,0.324501063,0.433397605,0.511835109,0.082223537,0.15164138,0.239612805,-0.050392761,0.067283176,6.896143957,0.069674411,922000000,1.69169E+11,11.36160512,1.377525664,0,0,0.22332855,0.166835917,0.083516506,0.552329314,0.585152948,12.73913079,181.2498073,-0.077314137,0.047861782,0.110433886,0.081793627,0.052710322,0.052710322,0.069430623,0.074233763,0.084167681,0.324316596,0.294190644,0.165482896,0.216034078,0.181516433,-0.541199505,-0.307443995,3,-0.157707552,-0.260472701,-0.354568534,2.619982125,1.914581429,1.269341929,0.700516646,-0.782970319,0.246533163,-0.761759316,0
ATKR,20104010,0.034262465,0.001352657,0.283184619,0.44951049,1.026539433,41752831.15,0.034723732,77.59337382,23.79576458,7.110726727,-0.508533802,0.659916287,52.06898712,17.60075826,0,1.728622127,12.4439077,1.494843839,0.250154594,17.37749558,28.28723498,50.8860424,22.59880742,8.621886042,22.78630742,0.345885776,0.226833264,0.306672637,0,0.358751061,0.76550018,1.674145031,2.310757778,10.94906386,0.130717464,45394463,4704682145,25.5243867,5.660456956,0,0,0.838242258,0.398753364,0.253007364,0.780025682,0.778835712,31.18484366,112.6457641,2.412356661,0.169825919,0.748681724,0.218051017,0.120068581,0.120068581,0.300895828,0.30904915,0.269484863,1.908267152,1.320147649,0.900173455,0.739006211,0.734545895,-0.485332272,-0.512230464,-0.656033494,1.407952668,0.786647973,-0.333831992,2.619982125,2.757560772,2.310034365,-0.31548023,-0.445100842,-0.764662969,0.714553612,0
QSR,25301040,0.014959174,0.052848404,2.732624623,-0.089389181,-0.347553223,84077645.6,0.02000719,12.81533329,4.26022381,3.136450295,-0.508533802,1.102154474,8.120764029,1.818072015,0,0.434345452,3.655068739,0.217892647,0.543668122,31.25327511,41.94541485,50.59388646,5,1.954148472,-0.310043668,0.035934619,0.141866932,0.332431761,0,0.105012818,0.281034085,-0.142963968,-0.391357376,3.437176092,-0.032001971,308684403,18024082291,4.694569262,0.251715269,3.648471616,0,0.195948393,0.039817271,0.040008543,6.359388646,0.363614403,4.946284531,91.88126638,-0.275609079,0.031136702,0.21947822,0.085631101,0.062597512,0.062597512,0.084711158,0.060484111,0.074220067,0.629694988,0.143959482,0.126598811,0.062933228,0.068458885,-0.348408653,-0.391865689,-0.262667518,-0.372408308,-0.728895523,0.174286328,-0.104103887,0.950363377,-0.464087791,0.526934072,-0.773454758,-0.764662969,-0.970427212,0
